Recorded Date,Usage,Region,District,Address,Floor,Room,Area in Square Feet,Total Deal Price (M),Price per Square Feet
2019-05-06,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN CENTRE MARK II,5,B,510.0,9.68,18980.0
2019-05-31,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN TUNG SING HSE,10,A,230.0,3.95,17174.0
2019-05-29,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN KAI WONG COM BLDG,11,2,727.0,6.28,8638.0
2019-05-23,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN WING SHING HSE,6,B,410.0,6.18,15073.0
2019-04-07,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN GOLD SHINE TWR,17,B,293.0,4.8,16382.0
2019-06-28,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN GRAND MILLENNIUM PLAZA HIGH BLK,12,4,832.0,36.505,43876.0
2019-06-26,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN GRAND MILLENNIUM PLAZA HIGH BLK,21,8,807.0,42.228,52327.0
2019-06-24,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN CRAWFORD TWR,20,B,389.0,6.08,15630.0
2019-06-19,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN XIU PING COM BLDG,18,,452.0,7.4,16372.0
2019-06-18,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN KWONG FAT HONG BLDG,17,,934.0,30.5,32655.0
2019-06-14,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN WAYSON COM BLDG,6,7,423.0,6.75,15957.0
2019-05-09,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN CRAWFORD TWR,16,A,389.0,5.39,13856.0
2019-01-08,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN HARVEST BLDG,4,E,272.0,3.9,14338.0
2019-06-12,Office,Hong Kong,Central / Sheung Wan,SHEUNG WAN TUNG SING HSE,5,B,246.0,3.9,15854.0
