Location,Address,24 Hours,Mon-Fri,Sat,Latitude,Longitude,Closest_Circle_K_Add,Circle_K_Latitude,Circle_K_Longitude,Distance_km,Closest_Circle_K_Loc
North Point,"Portion of Unit No. 2 on the Portion of the G/F of the Podium of Block 1, 2 & 3 City Garden, No. 233 Electric Road, North Point, Hong Kong",24 Hours,,,22.2907736,114.1944115,"Unit No. 5, G/F., Block 1, 2 & 3 City Garden, No. 233 Electric Road, Hong Kong",22.2912167,114.1950775,0.0843669023133221,North Point
Western,"Shop No. 5, G/F, Block B, Mei Sun Lau, Nos. 489/499 Des Voeux Road West, Shek Tong Tsui, Hong Kong",24 Hours,,,22.2868961,114.1339118,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",22.2875596,114.1386087,0.4895737375342995,Sai Wan
Wan Chai,"Shop C & D, G/F, Nos. 8-12 Fenwick Street, Nos. 42-50 Lockhart Road, Wan Chai, Hong Kong",24 Hours,,,22.2780103,114.170549,"G/F & M/F, 38 Hennessy Rd, Wanchai, H.K.",22.2773896,114.1704959,0.0689501328632678,Wanchai
Sai Wan Ho,"Shop No. GC04, G/F, Lei King Wan, Site C, No. 35 Tai Hong Street, Hong Kong",24 Hours,,,22.28505,114.223797,"Shop B G/F., Nos 106-108 Shau Kei Wan Road, Hong Kong",22.2821321,114.2216237,0.3931458299255959,Shau Kei Wan
Wan Chai,"Shop No. 1, G/F, Chuang's Enterprises Building, No. 382 Lockhart Road, Wan Chai, Hong Kong",24 Hours,,,22.279276,114.1798147,"Shop G4B G/F., Pak Ling Building, 368-374 Lockhart Road, Hong Kong",22.2791602,114.1794431,0.0403864129391777,Wanchai
Shau Kei Wan,"Shop No. C2, G/F, King Fai Building, Nos. 98-112 Shau Kei Wan Main Street East, Shau Kei Wan, Hong Kong",,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2786788,114.2299015,"Shop B G/F., The Eastborne, No. 51 Shau Kei Wan Main Street East, Hong Kong",22.2803075,114.2305921,0.1938879554011374,Shau Kei Wan
Sheung Wan,"Shop Nos. 1C, 1D & 1E, G/F, Site A, Queen's Terrace, No. 1 Queen Street, Sheung Wan, Hong Kong",24 Hours,,,22.2870208,114.1476807,"Shops D & H, G/F., Sea View Mansion, No. 82, 83, 84, 86, 87 Connaught Road West, Nos. 21, 23, 25, 27 Sutherland Street, Hong Kong",22.2881338,114.1461184,0.2027574602036467,Sheung Wan
Quarry Bay,Kiosk QUB 2 at Unpaid Concourse of MTR Quarry Bay Station (West Concourse),,Monday to Friday: 0700-2330,Saturday: 0700-2330,22.2878881,114.2097482,KIOSK QUB3 at Quarry Bay MTR Station,22.28800384,114.2097574,0.0128513928361124,Quarry Bay
Central,"Shop B, Lower Deck Level, Central Pier 7, Star Ferry, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2870931,114.1612153,"Shop Nos. A, B & C G/F., Pier 3, 11 Man Kwong Street, Central, HK",22.2871502,114.1612735,0.0087150182746679,Central
North Point,"Shop C & D, G/F, Yan Wo Building, No. 70 Java Road, North Point, Hong Kong",24 Hours,,,22.2918133,114.1984477,"Shop No.4, G/F., Cheong Yuen Apartments, Nos.2,4,6,8,8A Tsat Tsz Mui Road, North Point",22.2906342,114.2007566,0.2714025733872759,North Point
Western,"Shop A, G/F, Fook Moon Building, Nos. 56-72 Third Street, Sai Wan, Hong Kong",24 Hours,,,22.2855391,114.1419613,"Shop A G/F., No. 64 Centre Street, Hong Kong",22.284929,114.142068,0.068447898471629,Western District
Causeway Bay,"Shop G, G/F, Pun Tak Building, Nos. 478-484 Lockhart Road, Causeway Bay, Hong Kong",24 Hours,,,22.2801919,114.182229,"Shop B on Ground Floor, Po Hon Building, 24-30 Percival Street, Hong Kong",22.2806683,114.1825387,0.0616575310419279,Causeway Bay
Chai Wan,"Shop No. 8, Lower Ground Floor, Hiu Fung House, Fung Wah Estate, Chai Wan, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2605481,114.2310959,"Shop 209-210, Wo Hing Hse, Hing Wah Est (II), Chai Wan, H.K.",22.2630132,114.2330593,0.3398036008566102,Chai Wan
Central,Concession HOK 59 at Hong Kong MTR Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2837134,114.1583214,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.2011469142404131,Central
Aberdeen,"G/F, No. 178 Aberdeen Main Road, Aberdeen, Hong Kong",24 Hours,,,22.2489355,114.1558538,"Ground Floor, No. 23 Tung Sing Road, Hong Kong",22.2487125,114.1551595,0.0757094407146126,Aberdeen
Chai Wan,"Shop No. 201, Level 2, Hing Wah Plaza, Hing Wah (I) Estate, No. 11 Wan Tsui Road, Chai Wan, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2627217,114.2357446,"KIOSK No. CHW12 at Chai Wan Station, Chai Wan (Exit C)",22.264625,114.237139,0.2550988107542565,Chai Wan
Western,"Portion of Flat B, Ground Floor, Nos. 316-320 Des Voeux Road West, Sai Wan, Hong Kong",24 Hours,,,22.2872151,114.1387216,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",22.2875596,114.1386087,0.0398826939489282,Sai Wan
Wan Chai,"G/F, No. 27 Queen's Road East, Wan Chai, Hong Kong",24 Hours,,,22.2769227,114.1686257,"G/F & M/F, 38 Hennessy Rd, Wanchai, H.K.",22.2773896,114.1704959,0.1995571871422469,Wanchai
Central,"Shop B, G/F & M/F, Nos. 68, 68A, 70 & 70A Hollywood Road, Hong Kong",24 Hours,,,22.2831855,114.1525942,"Shop No.1 G/F., & Open Yard Nos.10-16 Cochrane Street, Hong Kong",22.2831647,114.1546298,0.2097931995742926,Central
Wan Chai,"Shop B, G/F, Man Hing Mansion, Nos. 193 & 195 Wan Chai Road, Wan Chai, Hong Kong",24 Hours,,,22.2776292,114.1784427,"Shop G4B G/F., Pak Ling Building, 368-374 Lockhart Road, Hong Kong",22.2791602,114.1794431,0.1984224146952549,Wanchai
Sheung Wan,"Shop No. 289 on 2nd Floor, Shun Tak Centre, Nos. 168-200 Connaught Road Central, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2879098,114.1517914,"Shop 11, 12 and 13, G/F., Western Market, 323 Des Voeux Road, Sheung Wan, Hong Kong",22.287287,114.150392,0.1598538931446295,Sheung Wan
Central,"Lower Ground Floor, No. 166 Wellington Street, Sheung Wan, Hong Kong",24 Hours,,,22.2844752,114.1532388,"Shop No.1 G/F., & Open Yard Nos.10-16 Cochrane Street, Hong Kong",22.2831647,114.1546298,0.20398090001794,Central
Wan Chai,"Shop C, G/F, Lee West Commercial Building, Nos. 375-379 Hennessy Road, Wan Chai, Hong Kong",24 Hours,,,22.2790348,114.179893,"Shop G4B G/F., Pak Ling Building, 368-374 Lockhart Road, Hong Kong",22.2791602,114.1794431,0.0484008845240627,Wanchai
Causeway Bay,"G/F, No. 17 Pennington Street, Causeway Bay, Hong Kong",24 Hours,,,22.278503,114.1859776,"G/F., 33 Jardine's Bazaar, Hong Kong",22.2795144,114.1849559,0.1537215099154775,Causeway Bay
Causeway Bay,"Portion of Shop B on Ground Floor, Wun Sha Mansion, Nos. 8-10 Wun Sha Street, Causeway Bay, Hong Kong",24 Hours,,,22.2789775,114.1923488,KIOSK TIH 2 at Tin Hau MTR Station,22.2824215,114.1917258,0.3867349958399926,Tin Hau
Sheung Wan,"Shops F & G, Ground Floor, Ovolo, No. 222 Hollywood Road, Sheung Wan, Hong Kong",24 Hours,,,22.2855218,114.1475467,"Shops D & H, G/F., Sea View Mansion, No. 82, 83, 84, 86, 87 Connaught Road West, Nos. 21, 23, 25, 27 Sutherland Street, Hong Kong",22.2881338,114.1461184,0.3245359283491148,Sheung Wan
Sheung Wan,"Shop No. 2, Ground Floor, Golden Valley Mansion, Nos. 135A-137A Caine Road, Mid-Level, Hong Kong",,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2829992,114.1498113,"Shop No. 28A G/F., Lily Court,? 28A Robinson Road, HK",22.2794066,114.1521066,0.4628369855668464,Central
Chai Wan,"Shop No. 401, G/F, Lok Hin Terrace, No. 350 Chai Wan Road, Chai Wan, Hong Kong",24 Hours,,,22.263856,114.240559,"KIOSK No. CHW12 at Chai Wan Station, Chai Wan (Exit C)",22.264625,114.237139,0.3626382405701669,Chai Wan
Sheung Wan,"G/F & the Cockloft, No. 298 Des Voeux Road Central, Sheung Wan, Hong Kong",24 Hours,,,22.2866507,114.1509721,"Shop 11, 12 and 13, G/F., Western Market, 323 Des Voeux Road, Sheung Wan, Hong Kong",22.287287,114.150392,0.0924035343240066,Sheung Wan
Western,"Portion of Shop C on G/F, Wing Sing Court, Nos. 178-180 Third Street, Sai Ying Pun, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2857306,114.1388029,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",22.2875596,114.1386087,0.2035191530149552,Sai Wan
